Teks Asli;Prediksi Lexicon
Bentuk dan ukuran: pass Aroma: harum Daya tahan pakai: awett karena pakai injection mould Warna: hitam pekat cuman agak sayang dibagian plong mata ayam tempat buat tali agak sedikit miring dibagian depan tapi its okee masih bagus,,btw ini pembelian sepatu aero yang ke 9;senang
Bentuk dan ukuran: Bentuk Terkini, Ukuran Pas.. Daya tahan pakai: Pasti Awet karena ini sudah yang ke-8 kali beli produk Aerosteet Cintailah Ploduk-ploduk Indonesia;senang
Bagus,bahan tebel, nyaman dipakai,the bestt;senang
keren banget sepatunya, nyaman dan sesuai ukuran, bahannya high quality, mantep Aerostreet👌🏻;senang
Produk Aero Street emang the best quality,untuk yang kesekian kalinya beli produk ini dan selalu puas,anakku seneng banget,warna dan ukuran cocok,pengirimannya cepat,packing aman.Makasih seller,semoga semakin laris manis.Aamiin;senang
bagus sepatunya, bahannya ebak dipake, insole juga padet tebel gitu, buat dipake buat seharian gk ada gangguan sama sekali, puas beli disini;senang
Cepet banget sampenya, Produk original,sesuai pesanan, Ukuran pas, 👍 Warna: Hitam Bentuk dan ukuran: Sesuai Aroma: Baru Daya tahan pakai: Lama;senang
kotaknya penyok karna tidak ada tambahan buble warp/kemasan tambahan;netral
Kualitas oke, lumayan cepet nyampe juga, awalnya takut gk muat karna kaki UK 40 tapi order UK 41, ternyata pas lebih dikit aja, kotak nya penyok mungkin kejepit/ketimpa selama perjalanan  4 star dulu ya min, tapi overall worth it;senang
modelnya bagus, nyaman, solnya gk selip, cuman sayang, solnya ketebelan, jadi pas make agak gimana gitu;senang
Kualitas bagus, rapi, nyaman di pakai, cuma kurang presisi aja kiri dan kanannya, tapi yang lain nya udh oke banget;senang
seperti biasanya  ukurannya pas, kualitasnya bagus packing rapih banget pengiriman juga cepet;senang
Bentuk dan ukuran: bentuk nya bagus. ukuran 40 pas di kaki Warna: hitam putih cocok untuk kerja,sekolah,maupun jalan jalan PRODUK DALAM NEGERI JOSSS MANTAP;senang
bagus sih sepatunya, tapi ada minus dikit di outsole ada sobek kecil jadi kalo dipake jalan kyk keluar angin gitu, tapi gpp lah maklum, untuk evaluasi aja kedepannya moga lebih baik lagi;senang
Sepatunya bagus, bahannya empuk, pengiriman juga super cepat. semoga tahan lama dan bisa buat nemenin aktivitas. Beli sepatu buat tes UTBK;senang
sangat baguss, cocok dipakai, ukurannya pas dan wanrnanya hitam pekat bagus sangat baguss;senang
Kedua kalinya pesen sepatu di aerostreet..bahan masih yang bagus dan nyaman dipakai;senang
makasih paketnya udah Datang,dengan amanah,barangnya original,proses nya cepat,pengiriman ya cepat,sampai tujuan,bisa buat Langganan klau beli lagi. buat toko nya amanah tak doakan Selalu lancar rezekinya amin.;senang
Sesuai deskripsi Jujur produknya bagus dgn harga segitu , saran aja bagi yg mau beli baiknya ukuranya dinaikan dikit Dari ukuran kaki , biar lebih nyaman saat pakai kaos kaki;senang
Bentuk dan ukuran: Ukurannya pas kualitas juga bagus;senang
Promo 9.9 dpt harga 97K sudah termasuk ongkir, barang hanya 1 hari cepat sampai, ukuran pas dan cocok dipakai buat kerja/sekolah/jalan-jalan 👍;senang
Bentuk dan ukuran: Desain nya lumayan bagus dan oke tapi ukurannya agak sempit sedikit aja padahal ukuran 42 🤣 Warna: Hitam pekat bagus;senang
Varian :hitam putih 41 Bahan bagun empuk bahan kanpas ringan di paken ke mana mana,pake sekolah bisa,kerja bisa  Pokonya debes👍;netral
Pengiriman cepat, dan barangnya bagus dipakai juga nyaman;senang
terima kasih barang nya nyampe dengan selamat, mungkin next nya minta pake bublewrap kali yak biar ga gonjreng banget gt cm masih aman sih untuk musim ujan kek hari gini, bahan nya cakep, nyaman juga, model ya cakep dah, sol manteb dan mudah2an awet ampe tipis nanti 🤣, ukuran ngepas aja tuh masih ada napas buat si jempol gerak2, jadi ga kegedean ama ga kekecilan juga pas nyobain, terima kasih min dan abang kurir, sukses dan sehat selalu min 🙏🏻;senang
Barang bagus Bentuk dan ukuran: Bagus rapi,pas;senang
"model nya standar, build quality nya pemakaian 3 hari masih normal, tadi ga sengaja kakin ketekuk pas pake sepatu ini tapi pas cek kondisi masih aman dan nyaman dipake, di area genangan air sampe area tanah basah/licin masih nyaman... bagian bawah basah juga gak bikin sepatu licin.  sama kalo boleh masih saran mending logo ""local pride"" nya ganti aja sama logo yang bikin value ni brand makin bagus";senang
Mantab barang keren ori gak kecewa saya udah beli ke 2 kalinya.  Saran aja sich pakingnya kasih Bablewarp biar lebih aman dusnya overal MANTAP TOP BANGET Bentuk dan ukuran: Ok Aroma: Bau sepatu baru Daya tahan pakai: Awet;senang
Daya tahan pakai: sangat cocok Warna: bagus Aroma: harum Bentuk dan ukuran: baik;senang
keren mantapp desainnya oke, gak berarti dan nyaman dipake nya;senang
Cihuyyy bgus bet nih sepatu produk lokal emng ga kalah ama produk luar dri segi bahan dan tampil kece sih😁😋;netral
Bentuk dan ukuran: pas dikaki Aroma: tidak ada Daya tahan pakai: aman buat daily Warna: keren;senang
Produk bagus, makin bagus dari yg versi sebelumnya;senang
memuaskan seperti biasa. ukuran pas. kualitas mantap. harga ramah dikantong. model keren.;senang
Sesuai dengan pesanan cuman kemasannya agak kurang aman tapi ok;senang
Bentuk dan ukuran: bagus sesuai Aroma: wangi Daya tahan pakai: semoga awet Warna: bagus;senang
harga murah kualitas kelas atas,bagus gk nyangka moga awet,asli cakep keren;senang
Pengirimnan cepat, packing rapih, ukuran pas, kualitas mantapnyooohh;senang
barang datang dengan aman dan cepat kualitas sepatu sesuai dengan deskripsi mantap kak semoga awet untuk jangka panjang;senang
Pengiriman cepat, barang lumayan bagus, cuma sedikit kurang rapi dalam pengerjaan finishing sepatunya;senang
bagus tapi sayang ny Peking ny kurang harus di bungkus ny hitam tapi ini transparan banget;senang
Recommended seller respon cepat barang sesuai pesanan;senang
"sudh sampai, cocok banget di kaki, jarang"" ada ukuran yg besar tapi nyaman";senang
kereen ternyata aslinya.  murah tapi ga murahan.. terima kasih aerostreet;senang
pesanannya sesuai yg diinginkan..bahannya bagus..respon penjual cepat..pengiriman. tepat sesuai estimasi overall keren puolll;senang
Bentuk dan ukuran: 44,sesuai Warna: cocok untuk anak sekolah SEMOGA AWET;senang
Baguss ada noda dikit gpp;sedih
Warna: Realpick sesuai gambar Bentuk dan ukuran: Pas bngt dipakai! Nyaman,, Pengiriman! Satset;senang
keren sesuai sama yg di gambar;senang
Dengan harga segitu oke sih, tapi perlu di perhatikan lagi soal quality nya ini bagian outsole sobek tapi masih bisa lolos sampai kejual🥲;netral
Bentuk dan ukuran: Pas nyaman di pakai Aroma: Harum Sesuai pesanan, 👍  Bagus banget gilaa;senang
model bagus , alas tebel , pengiriman cepat sampai lebih cepat dari estimas;senang
Warna: Ok sesuai yang dipesan Aroma: Baunya sepatu baru ori;senang
Pembelian kesekian kalinya Seperti biasa dus penyok, tp sepatu keren, pengiriman cepatt, ukuran cocok. terima kasih;senang
model casual, alas kaki empuk, jahitan rapi;senang
Paket nya sesuai dan sangat bagus, ukuran nya juga sesuai;senang
Aerostreet terbaik lah Bentuk dan ukuran: Bagus dan pas Aroma: Santan kelapa wkwkwk Daya tahan pakai: Belum diuji karna baru dateng Warna: Hitam putih;senang
Barang sampai dengan baik tidak ada kerusakan ukuran produk sesuai dan sangat memuaskan, terimakasih aerostreet semoga semakin jaya kedepannya.;senang
Bagus desain nya juga mantap cocok lah buat yang mau pegi liburan... Tpi ya agak kegedean dkit sih gpp lah saya juga yg salah mesen nomer😅😅;senang
Ukuran pas, di pakai nyaman, model keren...;senang
Barang sudah sampai pengiriman cepat pesan kemarin hari ini udah dateng, dan sesuai deskripsi, ukuran pas;senang
Bentuk dan ukuran: bagus dan pas Aroma: harum;senang
Bentuk dan ukuran: Sangat pas Warna: Bagus Produk Aero street memang bagus. Toko favorit dan langganan saya, Bangga produk lokal 💪💪👍👍;senang
Pemesanan yg ke 5, selama ini tidak pernah mengecewakan.  Alas yg sekarang tipis bgt... Sampe datang kondisi sudah bolong. Klo gini kena air dikit mresep dong...;marah
selalu bagus produk dari aerostreet 👍🔥 Bentuk dan ukuran: keren, pas juga Warna: hitam, bagus;senang
Bagus cuma samping” sol sisa” kurang di cut biar tapi;senang
ok lah , cuma minus jahitannya keluar keluar + ini jahitan di sol nya gimmick;netral
Sepatu ini melebihi ekspetasi saya,size nya fit bnget di kaki,sesuai selera saya,sepatunya juga bner2 nyaman bro;senang
ukuranya pas di aku yang biasanya pake 39 barangnya bagus, ga ada kerusakan, realpict 🙌👍;senang
modelnya keren. karetnya empuk. alasnya empuk. bahannya lebih lembut. cepet juga pengirimnya;senang
kualitas mantap, sesuai sama harga, ukuran nge pas wkwk untung ndk salah pilih nomor;senang
pengiriman si cepat terus barangnya sesuai pesanan;senang
cakep buat ootd. ngafe atau main.kmn. dgak kalah ama merk v*ns thanks;senang
Pengiriman cepet, suka sama sepatunya, kardusnya agak penyok tapi gamasalah ❤️❤️;senang
Bagus sepatunya sesuai pesanan,ukuran pas;senang
keren banget pas di kaki harga terjangkau dan gratis ongkir ke kalimantan, mantap 👍;senang
Ukuran pas desain bagus mantap aerostreet;senang
Diluar ekspektasi ssihhh, selaly support produk lokal ya gusy;senang
baguss, ringannn. mantappp pokok nya mah klo soal produk lokal satu ini;netral
Warnanya pekat, bagus. Cocok untuk kerja ataupun buat hangout dan outfit casual;senang
Bagus, sesuai ekpetasi nyaman lagi, ga mengecewakan dah;senang
baguss bgttt, hadiah buat adekkkuu nexttime bakalan order lg disiniii thankyouu❤;senang
Seperti biasa , Aerostreet gak pernah ngecewain,, pas mantab dan keren cuma paking nya gak ada buble warp skrg😌 tapi ya sudah lah yg penting aman sampe tmtp no cacat;senang
Bagus banget sepatunya mantap bang👍;senang
Alhamdulillah ini k2x beli sepatu d toko ini.. selalu suka sama alasnya yg tebal.. barangnya juga bagus, harga nya yg murah.. recommend deh pokonya;senang
Biasanya anak pakai 37 ini sengaja beli 38 kirain kegedean ternyata ngepass bgt;senang
Alhamdulillah sepatu Aerostreetnya sudah sampai,sepatu nya bagus banget buat sekolah apa lg buat jln2 bagus banget, anakq suka banget ini beli yg kedua kali nya;senang
Aku suka lokalan punya bahan adem, tp nyesel beli nya terburu2 payment di 257rb.. ehh bsok nya beli 3barang yg sama cuma 237rb😭;senang
Alhamdulillah puas...... Barange ori, semoga awet....;senang
tepat waktu datang nya,,barang nya pun lumayan;senang
Sepatunya Bagus Dan Bahannya Juga Oke Cocoklah Untuk Dipakai Jalan Jalan mantap untuk Aerostrett;senang
Bentuk dan ukuran: Bentuknya bagus, ukurannya kurang pas dengan kaki saya Daya tahan pakai: Bagus Warna: Bagus;senang
Sepatu nya keren udh nyampe bagus.. Nyaman jg di pakai... Pasti beli lg ah..;senang
Pengiriman sesuai jadwal produk sesuai deskripsi seller amanah Bentuk dan ukuran: Pas Warna: Variatif Daya tahan pakai: Semoga awet;senang
"Perdana makee sepatu Aerostreet,barang datang sesuai pesanan 😍,inimah sepatuu rasaa 500k😍,hargaa 150k udahh dapett spekk mewahhh dimana lagii kaloo bukan dii Aerostreet,inii sii bakal jadii langganan 😍, yang mau beli jangan ragu"" produk tidak mengecewakan dijamin😍😍😍";senang
overall bagus, ukuran pas, bentuknya keren, dan yang paling keren, proses dan pengirimannya cepat, baru beli jumat, sabtu sore sudah sampe rumah, keren aerostreet;senang
Bagus bangett walaupun ukuran 39 biasanya aku 40-41 tpi masih tetep muat dan masih ada ruang buat kaki ehehe;senang
Agak kecewa nih sama yang sekarang kualitas menurun, sepatu belum 1 bulan udah pada copot lemnya Daya tahan pakai: Kurang banget pada copot lemnya;senang
Kualitas sesuai dengan harga, sudah cukup bagus namun ada beberapa yg sedikit lagi diperbaiki pada bagian finishing, masih ada yg belepotan, seandainya itu diperbaiki beh ni sepatu keliatan nya pasti rapi, bersih.;senang
Produk ok banget dan nyaman dipakai, hanya saran tolong packing nya lebih rapi dan kasih bubblewrap, karena bagian belakang kardusnya saya penyok banget. Tapi Alhamdulillah produk didalamnya masih aman dan bagus.  Thanks;senang
Bahan bagus Untuk sisi samping kurang rapih Tapi masih oke lah Semoga kedepannya lagi bisa lebih baik lagi;senang
Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.;senang
Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.;senang
Modelnya keren! Pas di badan & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.;senang
bahannya bagus jahitan rapi,, ukuran pas sangat cocok;senang
Sepatunya bagus, jaitannya rapi untuk harga segitu oke banget, sayang paketnya ngga di pakein bubble, untung paketnya gpp, thx seller;senang
Untuk bahan ok tapi ada sedikit kain kurang rapih dikit,tapi bagus kok untuk harga segini;senang
sepatunya bagus , ukurannya pas dikaki size 42.cuma pas masuk agak susah aj.bahan kanvasnya agak kasar tp okelah dg harga segitu.detailnya kalo bisa diperbaiki ada bagian sol yg mbleber;senang
Bentuk dan ukuran: size 41 sebenernya kurang leluasa pas di pake tapi overall cakep dan keren banget sepatunya, mungkin kalo mau checkout lagi yg model lain bisa ambil yg 42.. thank's AEROSTREET;senang
Bentuk dan ukuran: Pas Aroma: Pas Daya tahan pakai: Pas Warna: Pas;senang
Kualitas baik, ukuran sesuai, dipakai nyaman, pengiriman cepat;senang
sepatunya enak dipake insole empuk presisi kokoh pokonya mah next order lagi , semoga awet dan pengiriman nya mantap cepet banget cuma sehari haha , terimakasih seller tingkatkan dan pertahankan kualitasnya  🔥;senang
Model bagus dan nyaman, bentuk dan warna yg elegan. cuma sayang, ukuran 41 nya rada kecil. Tp sepatu ini sangat bagus. D rekomendasi kan utk beli.;senang
Mantap, ukurannya pas, saat dipakai, alas pijakan kaki nya lembut, Design nya pun sesuai dengan gambar. 👍;senang
Sesuai sih tapi kardus a penyok🤦‍♂️;senang
Merk ini mah gk pernah gagal Udah langganan banget beli merk inii pengiriman cuuepeet banget pulaa shiip;sedih
offer all ok sih.. untuk outsol bagian dalam klo bisa rongga nya d tutup atau insol nya di sesuaikan;senang
Ini gua dpt produk cacat atau emng kualitasnya jelek ya?? . Dibagian midsolenya bleweran begini ?? Trus baru dipake 2 hari udah lepas sebagian gini??? Hadeuhhh quality controlnya gimana ini??;marah
Bentuk dan ukuran: Pas Aroma: Wangi Daya tahan pakai: Kuat Warna: Sesuai Barangnya bagus;senang
model nya keren,,nyaman,,cuma untuk ukuran saya terlalu gede,,biasa size 42,,harus down size ke 41,,,tpi oke banget,,thx seller;senang
Bagusss bangettttt sesuai banget sama ekspektasi 😍;senang
2021 beli jhosse, 2025 ganti baru ke massive;netral
Pengiriman cepat sepatu bagus sesuai foto Tapi kurang rapi dikit;senang
enak bagian tumit ga sakit dan ukuranya pas;netral
Mantappp, sesuai ukuran..joss pokoke;senang
modelnya bagus,nyaman di pakai,ukuran sesuai,packing rapi;senang
Bentuk dan ukuran: Pas Aroma: Wangi Daya tahan pakai: Kuat Warna: ☀;senang
Mantap lh yg di bagian tumitnya pun udh gak ada kata²;senang
Sayang harusnya nomer 42 emng boleh tukar nomer kak;senang
model bagus dan sesuai gambar, pengiriman sesuai harapan dan pengemasan produk rapih;senang
Paket sudah sampey pengiriman cepat pengepakan lumayan barang sesuey expetasi;senang
Bagus pengiriman cepat, box tidak lecet;senang
Keren bgt sepatu nya, nyaman bgt di kaki, sangat reccomended..  Tq seller, tingkatkan lagi kualitas & pelayanan nya;senang
Datang dg selamatt aman,cepat, pokoknya the bestt untuk mas kurirnya sama seller, thxx;senang
barang bagus, nyaman dipakai, minus di packing aja;senang
mantap sesuai dengan ekspektasi ku, nggak kekecilan;senang
barang nya sesuai ekspektasi🤩 dateng nya juga cepet banget, pesen malem siang nya Dateng the best lah👍😻;senang
Gua udah beli ini yang warna putih sebelumnya. Enak dipake jalan.;senang
Barang nya bagus, paling ya paketnya rada lama nyampe aja sisa nya oke banget;senang
model bagus, ukuran pas, enak dipakai, solnya empuk;senang
Barang bagus cus anak ku suka dan pas ukuranya semoga awet👍;senang
Keren bgt nih ok gk kaleng² lah Aroma: Wangi baru Bentuk dan ukuran: Kiri pas kana agak seret;senang
Ringan Bentuk dan ukuran: Bentuk kece ukuran pas Warna: Bagus;senang
Kualitas nya bagus banget,jahitan rapih , pengiriman nya cepat,gx pernah kecewa sih kalo beli di Aerostreet;senang
Warna: hitam Bentuk dan ukuran: 41 harga ramah kualitas gak main main, emang gak nyesal belinya;senang
Sepatunya bagus banget ringan ndak berat tampilannya pun keren.;senang
Sepatu sudah diterima dan kondisi baik, ukuran pas, semoga enak dipakai dan awet;senang
Bagus dan sesuai dgn realpick ,ukuran nya pas dan nyaman dipakai;senang
model keren.nyaman dipakai.model sesuai dan ukuran pas.;senang
Mantap! Pas sesuai. Pengiriman cepat. Tengkyu!;senang
Okelah mantap, saran aja buat adminnya supaya ukurannya kalo bisa kayak di +1 gitu. Soalnya kemarin saya beli sepatu degan ukuran yang sama dia itu besar, sedangkan ini malah ngepass banget;senang
Pengiriman cepat, kardus tidak penyok, dan sepatunya pas buat panjang kaki ±25cm.;senang
Bentuk dan ukuran: Ukuran pas Aroma: Wangi karna blm di pake Daya tahan pakai: Semoga awet Warna: Hitam Putih Mantap udh 2xco tidak mengecewakan😋;senang
Bentuk dan ukuran: Pas Daya tahan pakai: Awet Warna: Hitam Aroma: Sepatu baru 🥳 Ayo beli, gak nyesel;senang
Mantap, harga murah tp ga murahan tp kualitas premium.;senang
model nya kren,cocok sekali d pke nya,ukuran nya pas banget;senang
Sesuai pesanan💯👍 Bentuk dan ukuran: Modelnya bagus ukuran pas;senang
Daya tahan pakai: awet banget Warna: bagus Bentuk dan ukuran: sesuai;senang
Sepatunya bagus, bahan nya juga bagus. Semoga awet;senang
Bentuk dan ukuran: Sepatu nya bagus warna karakter nya sesuai ukuran nya pas di kaki;senang
cocok pas di kaki, nyaman dan datang sesuai pesanan;senang
Bagus sepatunya, ukurannya juga pas. Semoga awet, terimakasih.;senang
Sangat puas, harga murah barang istimewa. terimakasih next beli lagi.;senang
selalu puas belanja disini. harga murah kualitas ga murahan;senang
Modelnya keren, pas di kaki dan bahanya tebal, pengirimanya cepat. Brand lokal rekomended 😁;senang
Cepat, kualitas bagus, tepat waktu, sesuai pesanan, keren pokoknyaa;senang
Dari jaman kuliah 2019 massive versi pertama masih ada, skrng versi 2 top smoga sama awetnya 👍🏻;senang
Bagus, paket sampai dengan baik Ukuran pas;senang
Seneng banget deh sesuai ekspektasi, gak nyesel deh pesen Aero,, pengiriman juga sat set kemarin pesen hari ini datang;senang
barang sudah sampai dan kualitas sesuai harga tapu cukup bagus dengan lokal pride;senang
barang cepat sampai, ukuran dan model sesuai yg dipesan, 1 hal saja yg saya keluhkan, insole sepatunya terlalu tinggi sehingga membuat sepatu terlalu pas pasan di saya;senang
PKT udh DTG..biasa pke no 42..trnyata trllu ngepas dkaki..hrs nya dlebihin no 43 Bentuk dan ukuran: Ssuai Daya tahan pakai: Blm dcoba Warna: Hitam plat putih Aroma: Tdk brbau;senang
ogheee mantap insole dan outsolenya empuk parahhh😋;senang
Mantap, barang sampai dengan selamat kualitas ok ukuran pas cocok banget...;senang
Bagus Bentuk dan ukuran: 31 Warna: hitam putih baguss banget sesuai banget sama di online cepet lagi Topp dah Aero street 😹;senang
bagus sesuai ekspektasi. produk lokal ter dabest, barang buat kado jadi gada fotonya wk;senang
Intinya bagus, sesuai sama pesanan, ukuranya pun sesuai dengan pesanan, tidak ada cacat di sepatunya, mantap lah aerostreet, terimakasih 🙏 Bentuk dan ukuran: 42;senang
sangat puas dengan sepatunya kualitas tidak diragukan lagi,sukses terus aerostreet;senang
bagus, pengiriman tidak lama, kualitas oke;senang
Mantap Bentuk dan ukuran: Pas Warna: Bagus dan rapi;senang
Produk dalam kondisi baik, real pict dan sesuai pesanan..;senang
Baguss banget sepatunya tapi sayangnya box nya hancurr sedih banget🥲;sedih
Aroma: Wangui Daya tahan pakai: Awet tt Warna: Hitam Keren cepat pula;senang
Pengiriman sangat cepat sekali, barang bagus;senang
Oke keren gak pernah nyesel. Udh yg ke 2xnya beli. Sukses trus buat produk lokal. Tingkatkan trus kwalitasnya. Untuk kaki yg biasa 37 makan 1 tingkat pasti pas🙏;senang
Alhamdulillah pesann udah nyampe,realpick,amn pengiriman,cocok,puas bgt.bagus sepatu nya;senang
Alhamdulillah paketnya cepet datang dan bagus bgt, semoga awet, terimakasih seller, terimakasih tiktok;senang
top pokonyaa cuman minesnya kasi kaos kaki gratis dong min haha😹;netral
barang bagus sesuai deskripsi, pengiriman tepat waktu;senang
pengitiman cepet g sepatuny ngecewain dah pokony Bentuk dan ukuran: bagus pas;senang
mendarat dengan aman barang bagus pengiriman cepat ukuran pas;senang
bagusss.. nyaman kayanya kalo dibawa jalan. pijakan nya lembut 👍🏻;senang
Paket sudah mendarat min Recoment si buat harga segitu udh bagus bnget dan nyaman Warna: Warna.a hitam.a juga bagus, rapi;senang
Pengiriman sangat cepat sekali, barang bagus;senang
Oke keren gak pernah nyesel. Udh yg ke 2xnya beli. Sukses trus buat produk lokal. Tingkatkan trus kwalitasnya. Untuk kaki yg biasa 37 makan 1 tingkat pasti pas🙏;senang
Alhamdulillah pesann udah nyampe,realpick,amn pengiriman,cocok,puas bgt.bagus sepatu nya;senang
Alhamdulillah paketnya cepet datang dan bagus bgt, semoga awet, terimakasih seller, terimakasih tiktok;senang
top pokonyaa cuman minesnya kasi kaos kaki gratis dong min haha😹;netral
barang bagus sesuai deskripsi, pengiriman tepat waktu;senang
pengitiman cepet g sepatuny ngecewain dah pokony Bentuk dan ukuran: bagus pas;senang
mendarat dengan aman barang bagus pengiriman cepat ukuran pas;senang
bagusss.. nyaman kayanya kalo dibawa jalan. pijakan nya lembut 👍🏻;senang
Paket sudah mendarat min Recoment si buat harga segitu udh bagus bnget dan nyaman Warna: Warna.a hitam.a juga bagus, rapi;senang
GK BISA MOVE ON DRI AERO STREET.  Ini gue beli ke 5 kalinya, sepatu gue aeo stret berjejer di rak sptu anjayy krenn krenn sumpah makasih loh udh murahhj bangtt tapi kualitasnya gk kaleng kaleng dan superrr elegan banyak macamm, sampai saat ini ini produk yg jauhhh lebih gilaa kreenn pake bangtt.;senang
ukuran sesuai, warna dan type juga sesuai, terimakasih, smoga awet;senang
bguss size 41 kekecilan ternyata di aku;senang
"Bagus sekali, alasnya empuk, brand lokal tapi gk kaleng""👍";senang
pembelian kedua, bagus, cepat pengirimannya;senang
Bentuk dan ukuran: Pas Warna: Sesuai;senang
Goodddddd 🥰🔥🔥🔥 Shape and size: 41 Color: Massive black;netral
barang bagus, sol bagus. semoga awet dan tahan lama.;senang
sepatu sudh sampai dengan baik best dah;senang
Bentuk dan ukuran: Keren dan pas sizenya Warna: Sesuai;senang
ukur kaki dulu pakek penggaris klo bisa lebihin 2cm anggar longgar;sedih
Barang bagus sesuai dengan harga segitu sangat worth it👍;senang
langsung aku pake kerja tapi ngepres bnget uk nya saran ku yg mau beli tambahkan 1 ukuran misal biasa zize 40 ambil zize 41;senang
Bagus bgt kwalitas nya 👍👍👍👍 dah pesen beberapa kali;senang
Mantap paket cepet sampe barang sesuai pesanan seller gercep kurir juga cepet Makasih ya;senang
Thx you barang sdh sampai ya packing rapih, pengiriman juga cepat dan sesuai pesanan size 41;senang
Barang sudah sampai dan barang bagus sesuai dengan pesanan;senang
Diterima dangan baik, kwalitas ok;senang
Barang bagusnya dan pengirimannya cepat Mantap👍👍👍👍;senang
barang sampai berkualitas dan anak suka trima kasih;senang
Sudah langganan dengan sepatu produk aerostreet,sepatunya bagus2,awet tahan lama.;senang
Barang ke 4 dan Sepatu ke 3 beli d sini moga awet SPT yg kmr²;netral
barang sesuai dgn gambar. sepatunya bagus fan semoga awet;senang
mantap,tidak pernah mengecewakan. barang mendarat dengan sempurna, barang dan jumlah sesuai dengan pesenan, makasih seller dan kurir;senang
mantap sesuai order ,penjual sat set order pking kirim , terima barang ok;senang
Ga sesuai pesan warna hitam yang datang navy untung ukuran masih sesuai;senang
DI PERBAIKI LAGI YA AERO MASA 3 X PAKE DAH LEPAS LEMANYA;senang
Enak nyaman dipake. Pas lagi dikaki.;senang
Sesuai gambar;senang
nice barang sampai sesuai harga lah ya, model nya juga good;senang
untuk ukuran pas, cmn minus mimin nya aja. orang mau nambah yg d beli makanya mau d batalkan dlu. eh gk di setujui.  Alhasil y saya cmn beli 2 barang doank d sini. untuk lain kali kalo customer udah jelas alasannya ngapain mau d batalin. y tinggal d setujui aja apa susahnya. Barang ini adalah terakhir kalinya saya beli produk Aerostreet. males sama mimin nya gk mau ribet.;senang
wahh keren nih buat harga seratus ribuan, cakep solnya lumayan empuk, tinggi. Beli ukuran 40 pas banget di kaki gw yg panjangnya 25cm. Cintailah ploduk Indonesia ☝🏻;senang
Alhamdulillah pas, sepatu nya bagus, anaku suka... 🥰;senang
Semua produk aerostreet the best pokoknya;senang
Barang sudah di terima dengan sungguh sungguh haha mantab min bangga produk indonesia;senang
Bagus dan lembut enak di pakai terimakasih..;senang
luarrr biasaaa memuaskan, ukuran pas, semoga awet, so far so good;senang
keren banget sesuai pesanan dan ga nyesel next bakal order model lain nya 🥳;senang
Alhamdulillah paketannya dah nyampe...  Maaf telat ngasih ulasannya karena sibuk...  Sesuai pesenan sepatunya is the best 👍;senang
Bahan bagus dan nyaman, kualitas OK;senang
lupa ngevideo, tapii aslinya bagusss polll kokkk😻😻👍🏻👍🏻;netral
Alhamdullilah barang sesuai  Terimakasih;senang
Bagus barang nya sesuai cepat di antarkan;senang
Bahan sepatu keras gak nyaman di pakek;netral
Alhamdulillah paket sudah datang kemarin , cepet banget datengnya 🥰, terimakasih seller;senang
Bagus bangettt sepatunyaaa ini pembelian ke 2x. Dulu dh beli 2th yang lalu buat suami sampe skrg masih bagusss, ini beli buat adek semoga awettt;senang
barang nya bagus udah di coba empuk  semoga awet;senang
sesuai difoto nyaman dipakai ukuran las;senang
Sepatu nya bagus. Recomended banget. Makasih kak;senang
Barang rekomendet,bagus⭐⭐⭐⭐⭐;netral
Barang telah sampai tujuan, sepatunya bagus banget semoga cocok buat kerja;senang
Paket sudah sampai,pengiriman cepat,bagus👍👍;netral
real cuyy aero street pas ukuran nya mantap lah;senang
sip sesuai keren, nyaman jg d kaki;senang
sumpaaa sayaa sangattt sangat kecewaaa masaa sepatuu kayaa ginii kaliann gaa belii aduh rugi bangett 😫dan sepatuu ini keren bangett (TERIMAKASIH AERO STREET)🙏;senang
Lumayan kecewa sih saya tergocek awal beli harga 159 terus pas udah beli harga 137 dan itu pun aku lumayan sesak saat ku pakai karna aku udah nungu 2 bulan trus masi ga restock restock saya pun terpaksa beli ini;senang
Sepatunya bagus, Cuman pengiriman nya gagal terus jadi lama datangnya!;senang
bagus tpi depanya cacat engga mulus;netral
Barangnya pas, nyaman. Semoga awet..;senang
Ada yang menguning di bagian solnya;netral
Bagus, nyaman juga di pakainya;senang
Sepatutnya mantap, empuk, enak di pakai.;senang
Warna: Sesuai Bentuk dan ukuran: Pas;senang
Alhamdulillah yg Dateng sesuai pesanan ... Sesuai dengan picture nya ... Terimakasih seller;senang
Sepatu lumayan bagus..ukuran dan warna sesuai pesanan;senang
Dan Yap, pasti kardusnya penyok.;netral
Sesuai pesanan. Untuk anak sekolah. Semoga Awet;senang
Ukuran pas warna juga hitam pekat moga awet baru pertama kali beli;netral
Baguss banget.... Langsung beli 3 buat sekeluarga..;senang
pengiriman cepat sampai ditujuan, semoga awett dan tahan lama;senang
Bagus sesuai pas dikaki pengiriman cepat;senang
Alhamdulillah barangnya udh smpe guys, mantul pkonya 👍😎;senang
