text,emotion
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Produknya sangat bermanfaat, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya di atas ekspektasi, mantap!","senang"
"Barang cepat sampai dan packing rapi sekali.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang tidak seperti yang saya pesan.","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan penjual tidak membantu sama sekali.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sangat memuaskan, pasti beli lagi!","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya premium dengan harga bersaing.","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak dibeli.","marah"
"Barang tidak sampai, uang hangus begitu saja.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa digunakan, menyedihkan.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Produknya sangat bagus, saya suka banget!","senang"
"Saya sangat puas dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Produknya sangat bermanfaat, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Barangnya sesuai ekspektasi dan packing rapi.","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Produknya bagus dan cepat sampai, puas belanja di sini!","senang"
"Harganya murah tapi kualitas tetap oke!","senang"
"Pengiriman cepat dan layanan ramah, mantap!","senang"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Kualitas tidak sesuai deskripsi, menyesal beli di sini.","marah"
"Pengiriman sangat lama, lebih dari seminggu.","marah"
"Tidak akan beli lagi, pelayanan buruk sekali.","marah"
"Barang tidak seperti yang saya pesan! Kecewa!","marah"
"Barang hilang di jalan, sedih rasanya setelah menunggu lama.","sedih"
"Tidak ada garansi resmi, sayang sekali.","sedih"
"Kualitas produk turun drastis dibanding sebelumnya.","sedih"
"Packing tidak aman, banyak barang yang pecah.","sedih"
"Sedih karena penjual tidak merespons meski sudah DM berkali-kali.","sedih"
"Barang biasa saja, nggak ada yang istimewa.","netral"
"Pengemasan standar, tidak ada perlindungan ekstra.","netral"
"Tidak ada masalah, tapi juga tidak memuaskan.","netral"
"Biasa aja sih, harganya pasaran dan kualitas biasa.","netral"
"Layanan biasa, pengiriman normal seperti biasa.","netral"
"Barang datang tepat waktu dan kondisi masih baru.","senang"
"Kualitasnya mantap untuk harga segini, suka deh!","senang"
"Warna sesuai ekspektasi, cocok dipakai sehari-hari.","senang"
"Respon penjual cepat, pengiriman pun cepat!","senang"
"Barang masih baru dan belum pernah dipakai sama sekali.","senang"
"Barang cacat fisik, tidak bisa digunakan langsung!","marah"
"Ukuran tidak sesuai, terlalu kecil dari bayangan saya.","marah"
"Promo ternyata tidak berlaku, sangat menipu!","marah"
"Barang tidak original, seperti produk KW.","marah"
"Penjual susah dihubungi setelah transaksi selesai.","marah"
"Saya kecewa karena barang tidak sesuai harapan.","sedih"
"Tidak ada konfirmasi pengiriman sama sekali.","sedih"
"Barang datang dalam kondisi rusak parah.","sedih"
"Kualitas menurun drastis dari pembelian sebelumnya.","sedih"
"Saya kira ini promo besar, ternyata tidak ada diskonnya.","sedih"
"Barang oke, tapi tidak ada kelebihan spesifik.","netral"
"Tidak ada masalah, tapi juga tidak akan beli lagi di sini.","netral"
"Pengiriman biasa, tidak ada delay tapi juga tidak cepat.","netral"
"Kualitas cukup baik, tidak jelek juga tidak terlalu bagus.","netral"
"Barang sesuai deskripsi, tapi kurang menarik secara tampilan.","netral"
"Barangnya sangat bermanfaat, saya suka!","senang"
"Saya sangat senang dengan kualitas produk ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya jauh lebih baik dari produk sejenis.","senang"
"Barang sesuai ekspektasi, recomended seller!","senang"
"Barang tidak sesuai foto, warna pudar dan bahan tidak halus.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang sampai dalam kondisi rusak, padahal packing tebal.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Promonya tidak valid, sangat menipu!","marah"
"Saya sedih karena barang tidak dikirim sesuai janji.","sedih"
"Barang rusak dan tidak bisa diretur.","sedih"
"Kualitas produk menurun dari sebelumnya.","sedih"
"Barang tidak bisa digunakan langsung, harus ganti parts.","sedih"
"Saya pikir ini promo besar, ternyata tidak ada potongan.","sedih"
"Barang biasa aja sih, tidak ada keistimewaan.","netral"
"Pengemasan standar, tidak ada bonus atau tambahan.","netral"
"Kualitasnya biasa, tidak terlalu buruk juga tidak terlalu bagus.","netral"
"Tidak ada masalah, tapi tidak akan repurchase.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur unggulan.","netral"
"Produknya bagus dan awet, saya pasti beli lagi!","senang"
"Barangnya sangat membantu pekerjaan saya.","senang"
"Kualitas premium dengan harga yang bersaing.","senang"
"Pengiriman cepat dan gratis ongkir, mantap!","senang"
"Layanan pelanggan sangat responsif, terima kasih!","senang"
"Barang tidak sesuai deskripsi, sangat kecewa.","marah"
"Kualitasnya buruk, bahkan untuk harga murah.","marah"
"Barang tidak sampai-sampai, akhirnya batal beli.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Pelayanan tidak profesional, tidak akan beli lagi.","marah"
"Barang hilang di jalan, sedih rasanya setelah bayar mahal.","sedih"
"Tidak ada kompensasi sama sekali dari penjual.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang tidak bisa diretur karena alasan teknis.","sedih"
"Saya kecewa karena tidak ada opsi refund.","sedih"
"Barang biasa aja sih, nggak jelek-nggak bagus.","netral"
"Tidak ada keluhan, tapi juga tidak akan saya rekomendasikan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang masih baru, tapi kurang cocok untuk saya.","netral"
"Barang biasa, tidak akan beli lagi kalau habis.","netral"
"Produknya memang bagus, saya pasti beli lagi nanti!","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Kualitasnya di atas ekspektasi, pokoknya top!","senang"
"Barangnya sangat bermanfaat, saya senang!","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Barang tidak sesuai ekspektasi, mengecewakan.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Pengiriman sangat lama, hampir batal beli.","marah"
"Penjual tidak jujur, barang tidak seperti yang saya pesan.","marah"
"Barang tidak original, seperti palsu.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai deskripsi, sangat kecewa.","sedih"
"Barang tidak sampai tepat waktu, mengganggu rencana.","sedih"
"Kualitasnya menurun dari pembelian sebelumnya.","sedih"
"Saya menyesal membeli barang ini.","sedih"
"Barang biasa aja sih, nggak ada kelebihan.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan lebih.","netral"
"Barang biasa, tidak ada fitur unggulan.","netral"
"Pengiriman biasa, tidak ada delay tapi juga tidak cepat.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Produknya sangat memuaskan, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya benar-benar oke, sesuai harga.","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan uang hangus sia-sia.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak bisa digunakan, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Barangnya sangat bagus, cocok untuk saya.","senang"
"Kualitasnya oke dan harga terjangkau.","senang"
"Barangnya sangat bermanfaat, mantap!","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Produknya mantap, sangat membantu.","senang"
"Barang tidak seperti yang saya pesan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang hilang di jalan, padahal sangat saya butuhkan.","sedih"
"Barang tidak bisa digunakan langsung, kecewa rasanya.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, tidak ada yang istimewa.","netral"
"Barang sesuai deskripsi, tapi tidak ada bonus tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang masih baru, tapi tidak ada manfaat lain.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Produknya sangat membantu, saya suka!","senang"
"Sangat puas dengan kualitas dan pelayanan toko.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan packing rapi sekali.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak profesional, tidak merespons chat saya.","marah"
"Saya sedih karena tidak bisa paket diretur.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa digunakan, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada hal menarik.","netral"
"Barang biasa, tidak akan saya beli lagi.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya repurchase.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa info.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Produknya mantap, sangat bermanfaat buat saya.","senang"
"Saya puas banget, barang lebih dari ekspektasi.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya luar biasa, recomended seller!","senang"
"Layanan pelanggan sangat responsif dan ramah.","senang"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo ternyata tidak valid, sangat menipu!","marah"
"Saya sedih karena tidak ada konfirmasi pengiriman.","sedih"
"Barang hilang di jalan, padahal sudah bayar mahal.","sedih"
"Barang tidak bisa dipakai, sangat mengecewakan.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak sesuai foto, sangat menyedihkan.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Sangat puas dengan kualitas dan pelayanan tokonya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan masih dalam kondisi baru.","senang"
"Barang tidak sesuai foto, warna pudar dan bahan kasar.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai-sampai, akhirnya cancel order.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada solusi dari penjual.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang masih baru, tapi tidak ada kelebihan mencolok.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya bagus dan tahan lama, mantap!","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Barang cepat sampai dan sesuai ekspektasi.","senang"
"Saya sangat senang dengan pelayanan tokonya.","senang"
"Barang tidak sesuai deskripsi, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak dibeli.","marah"
"Barang tidak sampai, uang hangus sia-sia.","marah"
"Barang rusak dan penjual tidak merespons komplain.","marah"
"Promo tidak valid, sangat menipu!","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada keluhan, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Produknya sangat membantu, saya pasti beli lagi!","senang"
"Saya sangat puas dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Barang tidak seperti yang saya lihat di foto.","marah"
"Kualitasnya jelek, bahkan untuk harga murah.","marah"
"Barang tidak sampai dan uang tidak kembali.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang masih baru, tapi tidak ada manfaat khusus.","netral"
"Produknya sangat bermanfaat, saya suka!","senang"
"Saya sangat senang dengan kualitasnya.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya luar biasa, mantap sekali!","senang"
"Barang cepat sampai dan layanan pelanggan ramah.","senang"
"Barang tidak seperti yang saya pesan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak dan tidak bisa ditukar.","marah"
"Penjual tidak profesional, tidak merespons sama sekali.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak sesuai ekspektasi, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada solusi dari toko.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak dikirim tepat waktu, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasikan.","netral"
"Produknya mantap, sangat membantu.","senang"
"Barangnya cocok untuk saya, pasti beli lagi!","senang"
"Kualitasnya bagus dan harganya terjangkau.","senang"
"Barang cepat sampai dan packingnya rapi.","senang"
"Saya sangat senang dengan pengalaman belanja kali ini.","senang"
"Barang tidak seperti yang saya harapkan, sangat mengecewakan.","marah"
"Kualitasnya buruk, tidak layak untuk harganya.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Penjual tidak jujur, barang second tanpa informasi.","marah"
"Saya sedih karena tidak bisa klaim garansi resmi.","sedih"
"Barang tidak sesuai ekspektasi, sangat mengecewakan.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada keluhan, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada nilai tambah.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sangat memuaskan, saya suka!","senang"
"Kualitasnya bagus dan tahan lama, mantap!","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Barang cepat sampai dan kondisi masih baru.","senang"
"Saya puas banget, pasti beli lagi nanti!","senang"
"Barang tidak sesuai foto, sangat mengecewakan.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang tidak sampai dan penjual tidak merespons.","marah"
"Barang rusak saat diterima, tidak bisa digunakan.","marah"
"Promo tidak berlaku, sangat menipu!","marah"
"Saya sedih karena tidak ada opsi refund.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, tidak ada ganti rugi.","sedih"
"Barang rusak dan tidak ada garansi resmi.","sedih"
"Barang tidak dikirim sesuai janji, sangat mengganggu.","sedih"
"Barang biasa aja sih, nggak ada yang spesial.","netral"
"Tidak ada masalah, tapi juga tidak ada keuntungan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada fitur tambahan.","netral"
"Barang biasa, tidak akan saya rekomendasi ke teman.","netral"
"Produknya sangat bagus, saya pasti beli lagi!","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Barangnya cocok untuk saya, sangat bermanfaat.","senang"
"Kualitasnya melebihi ekspektasi, mantap!","senang"
"Barang cepat sampai dan packingnya ekstra baik.","senang"
"Barang tidak sesuai ekspektasi, sangat kecewa.","marah"
"Kualitasnya jelek, tidak sesuai harga.","marah"
"Barang tidak sampai dan tidak ada kabar dari penjual.","marah"
"Barang rusak saat diterima, sangat menyebalkan.","marah"
"Penjual tidak jujur, barang second tanpa info.","marah"
"Saya sedih karena tidak bisa return barang.","sedih"
"Barang tidak seperti yang saya harapkan, sangat kecewa.","sedih"
"Barang hilang di jalan, sangat menyedihkan.","sedih"
"Barang rusak dan tidak bisa diretur, menyedihkan.","sedih"
"Barang tidak dikirim tepat waktu, mengganggu rencana.","sedih"
"Barang biasa aja sih, nggak ada yang istimewa.","netral"
"Tidak ada masalah, tapi juga tidak ada kepuasan.","netral"
"Barang biasa, tidak ada promo atau diskon.","netral"
"Barang sesuai deskripsi, tapi tidak ada manfaat tambahan.","netral"
"Barang biasa, tidak akan saya beli ulang.","netral"
"Barangnya sesuai ekspektasi dan packing rapi.","senang"
"Saya sangat senang dengan kualitas barang ini.","senang"
"Produknya bagus dan cepat sampai, puas belanja di sini!","senang"
"Harganya murah tapi kualitas tetap oke!","senang"
"Pengiriman cepat dan layanan ramah, mantap!","senang"
"Barang rusak saat diterima, sangat kecewa.","marah"
"Kualitas tidak sesuai deskripsi, menyesal beli di sini.","marah"
"Pengiriman sangat lama, lebih dari seminggu.","marah"
"Tidak akan beli lagi, pelayanan buruk sekali.","marah"
"Barang tidak seperti yang saya pesan! Kecewa!","marah"
"Barang hilang di jalan, sedih rasanya setelah menunggu lama.","sedih"
"Tidak ada garansi resmi, sayang sekali.","sedih"
"Kualitas produk turun drastis dibanding sebelumnya.","sedih"
"Packing tidak aman, banyak barang yang pecah.","sedih"
"Sedih karena penjual tidak merespons meski sudah DM berkali-kali.","sedih"
"Barang biasa saja, nggak ada yang istimewa.","netral"
"Pengemasan standar, tidak ada perlindungan ekstra.","netral"
"Tidak ada masalah, tapi juga tidak memuaskan.","netral"
"Biasa aja sih, harganya pasaran dan kualitas biasa.","netral"
"Layanan biasa, pengiriman normal seperti biasa.","netral"
"Barang datang tepat waktu dan kondisi masih baru.","senang"
"Kualitasnya mantap untuk harga segini, suka deh!","senang"
"Warna sesuai ekspektasi, cocok dipakai sehari-hari.","senang"
"Respon penjual cepat, pengiriman pun cepat!","senang"
"Barang masih baru dan belum pernah dipakai sama sekali.","senang"
"Barang cacat fisik, tidak bisa digunakan langsung!","marah"
"Ukuran tidak sesuai, terlalu kecil dari bayangan saya.","marah"
"Promo ternyata tidak berlaku, sangat menipu!","marah"
"Barang tidak original, seperti produk KW.","marah"
"Penjual susah dihubungi setelah transaksi selesai.","marah"
"Saya kecewa karena barang tidak sesuai harapan.","sedih"
"Tidak ada konfirmasi pengiriman sama sekali.","sedih"
"Barang datang dalam kondisi rusak parah.","sedih"
"Kualitas menurun drastis dari pembelian sebelumnya.","sedih"
"Saya kira ini promo besar, ternyata tidak ada diskonnya.","sedih"
"Barang oke, tapi tidak ada kelebihan spesifik.","netral"
"Tidak ada masalah, tapi juga tidak akan beli lagi di sini.","netral"
"Pengiriman biasa, tidak ada delay tapi juga tidak cepat.","netral"
"Kualitas cukup baik, tidak jelek juga tidak terlalu bagus.","netral"
"Barang sesuai deskripsi, tapi kurang menarik secara tampilan.","netral"
"Barangnya sangat bermanfaat, saya suka!","senang"
"Saya sangat senang dengan kualitas produk ini.","senang"
"Barangnya cocok untuk saya, sangat membantu.","senang"
"Kualitasnya jauh lebih baik dari produk sejenis.","senang"
"Barang sesuai ekspektasi, recomended seller!","senang"
"Barang tidak sesuai foto, warna pudar dan bahan tidak halus.","marah"
"Kualitasnya jelek, tidak layak untuk harga segini.","marah"
"Barang sampai dalam kondisi rusak, padahal packing tebal.","marah"
"Penjual tidak jujur, barang second bukan baru.","marah"
"Promonya tidak valid, sangat menipu!","marah"
"Saya sedih karena barang tidak dikirim sesuai janji.","sedih"
"Barang rusak dan tidak bisa diretur.","sedih"
"Kualitas produk menurun dari sebelumnya.","sedih"
"Barang tidak bisa digunakan langsung, harus ganti parts.","sedih"
"Saya pikir ini promo besar, ternyata tidak ada potongan.","sedih"
